reg;region_name;cl_age90;jour;hosp;rea;rad;dc
1;Guadeloupe;29;27/03/2020;0;0;0;0
1;Guadeloupe;39;27/03/2020;4;1;1;0
1;Guadeloupe;49;27/03/2020;2;0;0;0
1;Guadeloupe;59;27/03/2020;8;3;3;0
1;Guadeloupe;69;27/03/2020;9;4;0;0
1;Guadeloupe;79;27/03/2020;4;4;1;1
1;Guadeloupe;89;27/03/2020;2;1;1;0
1;Guadeloupe;90;27/03/2020;0;0;0;0
1;Guadeloupe;0;28/03/2020;44;13;9;1
1;Guadeloupe;9;28/03/2020;0;0;0;0
1;Guadeloupe;19;28/03/2020;0;0;0;0
1;Guadeloupe;29;28/03/2020;0;0;0;0
1;Guadeloupe;39;28/03/2020;4;1;1;0
1;Guadeloupe;49;28/03/2020;2;0;0;0
1;Guadeloupe;59;28/03/2020;11;3;4;0
1;Guadeloupe;69;28/03/2020;11;4;2;0
1;Guadeloupe;79;28/03/2020;5;4;1;1
1;Guadeloupe;89;28/03/2020;9;1;1;0
1;Guadeloupe;90;28/03/2020;1;0;0;0
1;Guadeloupe;0;29/03/2020;44;12;9;2
1;Guadeloupe;9;29/03/2020;0;0;0;0
1;Guadeloupe;19;29/03/2020;0;0;0;0
1;Guadeloupe;29;29/03/2020;0;0;0;0
1;Guadeloupe;39;29/03/2020;4;1;1;0
1;Guadeloupe;49;29/03/2020;3;0;0;0
1;Guadeloupe;59;29/03/2020;11;3;4;0
1;Guadeloupe;69;29/03/2020;11;4;2;0
1;Guadeloupe;79;29/03/2020;4;3;1;2
1;Guadeloupe;89;29/03/2020;9;1;1;0
1;Guadeloupe;90;29/03/2020;1;0;0;0
1;Guadeloupe;0;30/03/2020;35;11;18;4
1;Guadeloupe;9;30/03/2020;0;0;0;0
1;Guadeloupe;19;30/03/2020;0;0;0;0
1;Guadeloupe;29;30/03/2020;0;0;0;0
1;Guadeloupe;39;30/03/2020;4;1;1;0
1;Guadeloupe;49;30/03/2020;4;1;0;0
1;Guadeloupe;59;30/03/2020;7;1;8;0
1;Guadeloupe;69;30/03/2020;9;5;4;1
1;Guadeloupe;79;30/03/2020;3;3;2;2
1;Guadeloupe;89;30/03/2020;7;0;2;1
1;Guadeloupe;90;30/03/2020;1;0;0;0
1;Guadeloupe;0;31/03/2020;37;12;19;5
1;Guadeloupe;9;31/03/2020;0;0;0;0
1;Guadeloupe;19;31/03/2020;0;0;0;0
1;Guadeloupe;29;31/03/2020;0;0;0;0
1;Guadeloupe;39;31/03/2020;4;1;1;0
1;Guadeloupe;49;31/03/2020;5;1;0;0
1;Guadeloupe;59;31/03/2020;7;1;8;0
1;Guadeloupe;69;31/03/2020;9;6;5;1
1;Guadeloupe;79;31/03/2020;3;2;2;3
1;Guadeloupe;89;31/03/2020;8;1;2;1
1;Guadeloupe;90;31/03/2020;1;0;0;0
1;Guadeloupe;0;01/04/2020;35;12;25;7
1;Guadeloupe;9;01/04/2020;0;0;0;0
1;Guadeloupe;19;01/04/2020;0;0;0;0
1;Guadeloupe;29;01/04/2020;1;0;0;0
1;Guadeloupe;39;01/04/2020;3;1;2;0
1;Guadeloupe;49;01/04/2020;3;1;2;0
1;Guadeloupe;59;01/04/2020;5;1;10;0
1;Guadeloupe;69;01/04/2020;9;6;6;1
1;Guadeloupe;79;01/04/2020;3;2;2;4
1;Guadeloupe;89;01/04/2020;10;1;2;2
1;Guadeloupe;90;01/04/2020;1;0;0;0
1;Guadeloupe;0;02/04/2020;37;16;28;7
1;Guadeloupe;9;02/04/2020;0;0;0;0
1;Guadeloupe;19;02/04/2020;0;0;0;0
1;Guadeloupe;29;02/04/2020;1;0;0;0
1;Guadeloupe;39;02/04/2020;1;1;2;0
1;Guadeloupe;49;02/04/2020;1;1;2;0
1;Guadeloupe;59;02/04/2020;5;2;13;0
1;Guadeloupe;69;02/04/2020;10;6;6;1
1;Guadeloupe;79;02/04/2020;7;5;2;4
1;Guadeloupe;89;02/04/2020;11;1;2;2
1;Guadeloupe;90;02/04/2020;0;0;0;0
1;Guadeloupe;0;03/04/2020;36;17;34;8
1;Guadeloupe;9;03/04/2020;0;0;0;0
1;Guadeloupe;19;03/04/2020;0;0;0;0
1;Guadeloupe;29;03/04/2020;1;0;0;0
1;Guadeloupe;39;03/04/2020;2;1;2;0
1;Guadeloupe;49;03/04/2020;1;1;2;0
1;Guadeloupe;59;03/04/2020;5;2;13;0
1;Guadeloupe;69;03/04/2020;10;7;9;1
1;Guadeloupe;79;03/04/2020;8;5;2;4
1;Guadeloupe;89;03/04/2020;8;1;5;3
1;Guadeloupe;90;03/04/2020;0;0;0;0
1;Guadeloupe;0;04/04/2020;36;17;35;8
1;Guadeloupe;9;04/04/2020;0;0;0;0
1;Guadeloupe;19;04/04/2020;0;0;0;0
1;Guadeloupe;29;04/04/2020;1;0;0;0
1;Guadeloupe;39;04/04/2020;2;1;2;0
1;Guadeloupe;49;04/04/2020;3;1;2;0
1;Guadeloupe;59;04/04/2020;4;2;14;0
1;Guadeloupe;69;04/04/2020;10;7;9;1
1;Guadeloupe;79;04/04/2020;8;5;2;4
1;Guadeloupe;89;04/04/2020;8;1;5;3
1;Guadeloupe;90;04/04/2020;0;0;0;0
1;Guadeloupe;0;05/04/2020;36;18;36;8
1;Guadeloupe;9;05/04/2020;0;0;0;0
1;Guadeloupe;19;05/04/2020;0;0;0;0
1;Guadeloupe;29;05/04/2020;1;0;0;0
1;Guadeloupe;39;05/04/2020;2;1;2;0
1;Guadeloupe;49;05/04/2020;3;1;2;0
1;Guadeloupe;59;05/04/2020;3;2;15;0
1;Guadeloupe;69;05/04/2020;11;8;9;1
1;Guadeloupe;79;05/04/2020;8;5;2;4
1;Guadeloupe;89;05/04/2020;8;1;5;3
1;Guadeloupe;90;05/04/2020;0;0;0;0
1;Guadeloupe;0;06/04/2020;40;18;37;8
1;Guadeloupe;9;06/04/2020;0;0;0;0
1;Guadeloupe;19;06/04/2020;0;0;0;0
1;Guadeloupe;29;06/04/2020;1;0;0;0
1;Guadeloupe;39;06/04/2020;2;1;2;0
1;Guadeloupe;49;06/04/2020;4;1;2;0
